tarih,toplam_tuketim_mwh,ortalama_ptf_tl_mwh,ortalama_sicaklik_c,yenilenebilir_orani,yil,ay,usd_try,eur_try,tufe_yillik,politika_faizi,reel_efektif_kur,sanayi_uretim_endeksi,toplam_tuketim_gwh,sanayi_tuketim_gwh,konut_tuketim_gwh,ticarethane_gwh,resmi_daire_gwh,diger_gwh,nufus_milyon,issizlik_orani
2021-11-01,29726489,1925.2186666666666,7.53,0.31214114846500357,2021,11,12.4896,13.8298,85,23.41,66.65,117.7,30386.3,12911.4,7357.3,4882.8,1528.8,3923.5,81.59,8.86
2021-12-01,30486250,1921.5135483870968,4.422580645161291,0.31384340584830445,2021,12,18.3853,20.3041,85,24.86,61.56,114.5,31268,12844.6,7431.2,4978.7,1580.3,4093.4,81.597,9.54
2022-01-01,28841419,2055.132258064516,2.829032258064516,0.35586619875097475,2022,1,16.547,18.3397,85,29.76,60.91,121.4,30647.1,12976.8,7263.4,4851.1,1464.4,3875.9,81.57,8.98
2022-02-01,24387678,1996.1292857142857,5.017857142857143,0.37879863703066835,2022,2,17.9555,19.7275,85,27.46,70.71,114.4,25758.8,10775.5,6169,4251.2,1258.5,3355.3,81.562,9.72
2022-03-01,25216981,1952.3732258064517,10.461290322580645,0.41173002346568327,2022,3,14.5045,16.7011,85,29.01,67.29,115.6,25546.9,10220.8,6058,4079.7,1285.4,3266,81.632,10.72
2022-04-01,22823931,1958.1596666666667,16.143333333333334,0.42842205628318725,2022,4,14.3353,16.2221,85,29.03,66.33,118.2,24710.9,10203.4,6047.1,3905.4,1203.9,3193.6,81.678,9.82
2022-05-01,22761094,1968.2112903225807,22.383870967741935,0.42368637640197715,2022,5,13.9253,14.5798,85,30.89,66.45,124.1,26878.1,11296,6512.8,4347,1404.7,3409,81.599,8.9
2022-06-01,22528426,1912.3833333333334,25.7,0.3940180802381004,2022,6,14.0898,15.7869,85,31.46,64.15,127.8,26368.5,11297.6,6268.2,4345.3,1234,3556.1,81.723,9.78
2022-07-01,24880364,1951.6825806451614,26.948387096774194,0.36235799798859036,2022,7,15.198,16.1255,85,28.58,66.15,128.1,29051.9,12324,6965.8,4858.1,1447,3689.5,81.591,8.51
2022-08-01,27021897,1933.7964516129032,23.593548387096774,0.3291012450294425,2022,8,15.8047,17.8981,85,31.67,64.22,123.3,30427.3,13023.1,7234.4,4916.1,1458.1,3953.5,81.699,7.84
2022-09-01,28171106,2049.281,19.463333333333335,0.30875222956783865,2022,9,15.7179,16.329,85,28.86,60.3,120.7,33176.5,14112,7993.9,5436.9,1732.2,4313.3,81.715,7.89
2022-10-01,30518317,1890.1583870967743,13.758064516129032,0.29667766760482966,2022,10,14.7237,16.3725,85,33.92,61,124.5,32861.5,13691.5,8097.9,5170.8,1578.7,4330.4,81.708,7.54
2022-11-01,30402166,2106.347,7.8533333333333335,0.30351691427705874,2022,11,16.0346,17.6185,85,34,69.95,122.5,31412.6,12628.3,7447,4935.3,1540.7,4069.7,81.705,7.51
2022-12-01,30942783,2046.27,4.535483870967742,0.326691614978874,2022,12,16.1363,17.7984,85,32.01,53.43,115.9,31541.1,12636.4,7408,5001.5,1569.6,4097.5,81.755,9.07
2023-01-01,29403878,2067.76,3.5612903225806454,0.36202896600296297,2023,1,17.1846,18.7247,85,29.83,59.7,117.4,30007.9,12554,7274.4,4821.7,1473.3,4016,81.683,9.26
2023-02-01,24877396,2043.7464285714286,5.310714285714286,0.3963729044248034,2023,2,18.189,19.6165,85,36.25,63.12,117,26800,11387.2,6283.9,4561.5,1317.5,3363.7,81.764,9.09
2023-03-01,25646297,2038.9590322580646,10.338709677419354,0.4131846535040177,2023,3,17.7994,19.8836,85,31.29,58.83,120.5,25447.5,10721.9,6138.6,4174.3,1241.8,3450.2,81.628,9.06
2023-04-01,23171827,2011.7303333333334,16.03,0.4247415409570934,2023,4,18.1641,20.1191,85,37.1,55.19,123.5,25968.7,11045,6127.5,4276.4,1190.7,3638.6,81.801,10.09
2023-05-01,23661411,1991.4125806451614,22.587096774193547,0.4175004497645694,2023,5,17.8275,20.6298,85,33.48,62.05,126.7,27708.4,11562.9,6798.8,4525.3,1358.3,3615.1,81.767,9.81
2023-06-01,23027012,2005.8153333333335,26.54,0.4081271398898178,2023,6,21.1433,22.3037,85,50,61.56,129.4,27287.3,11667.8,6342.5,4289.1,1434.7,3531.5,81.789,8.24
2023-07-01,25264681,2028.8396774193548,26.329032258064515,0.3652324438413773,2023,7,21.171,22.7876,85,50,67.17,133.7,30944.7,12484.6,7588,4923.1,1550.8,4015.9,81.813,6.9
2023-08-01,27493496,2018.9732258064516,24.558064516129033,0.3247888888591646,2023,8,20.4988,23.0249,85,50,54.34,130.8,31827.5,13396.7,7947.8,5242.2,1598.6,4090.3,81.865,6.97
2023-09-01,28558289,2051.238,19.55,0.30584807987451973,2023,9,19.9977,23.49,85,50,63.84,126.5,32311.3,13602.3,7872.8,5108.3,1649,4049.3,81.89,7.17
2023-10-01,31174787,2095.168387096774,13.55483870967742,0.2934769907045741,2023,10,22.2573,24.9339,85,50,51.39,126.4,33261.5,13971.1,8101.2,5420.9,1691.3,4324.8,81.799,6.88
2023-11-01,30918868,2090.945333333333,7.633333333333334,0.3058217925403829,2023,11,22.2882,23.2526,85,50,55.03,128.8,33914.5,13934.7,8075.1,5496.3,1603.9,4443.3,81.968,7.66
2023-12-01,31381322,2076.0232258064516,4.225806451612903,0.3166576742719857,2023,12,22.9027,23.8937,85,50,56.97,125.5,32598.3,13825,7600.4,5259.5,1565.7,4215.6,81.799,9.11
2024-01-01,30141371,2181.041612903226,2.8483870967741938,0.365421427539221,2024,1,23.9866,27.0533,85,50,57.08,121.9,28954.6,12609.9,7071.5,4683.9,1442,3846.5,81.867,8.79
2024-02-01,26361956,2211.4844827586207,6.1,0.3884987225814275,2024,2,22.3993,23.3527,85,50,52.92,124.5,28948.2,12146.5,7009.3,4641.3,1401.4,3841.7,81.829,9.5
2024-03-01,25892117,2118.6945161290323,10.5,0.41245388658962356,2024,3,24.1929,25.0018,85,50,57.68,129.9,27393.6,11346.5,6956.9,4390.7,1362.5,3533.4,81.981,8.81
2024-04-01,23865000,2144.2843333333335,16.6,0.41667080901621406,2024,4,25.7277,28.0583,85,50,54.66,129.8,26266.9,11093.6,6191,4313.8,1277.1,3355.6,81.936,9.47
2024-05-01,24197316,2153.081935483871,21.783870967741937,0.41568930718442726,2024,5,24.9289,27.1727,85,50,48.81,132.8,28486.8,11976.7,7132.4,4666.7,1361.6,3713.7,81.912,8.82
2024-06-01,23484429,2153.7663333333335,26.106666666666666,0.3893343969421823,2024,6,27.4802,29.2062,85,50,57.83,137.3,29252.5,12089.4,6916.8,4519,1492.5,3706.8,82.021,7.24
2024-07-01,25946930,2146.7525806451613,27.403225806451612,0.35529196461467444,2024,7,26.7361,29.3137,85,50,50.91,143.8,30438.1,13106,7376.9,4813,1539.1,3984.8,81.958,6.47
2024-08-01,28300404,2192.2929032258066,25.06774193548387,0.34127168613678494,2024,8,28.3977,30.3635,85,50,48.87,135.7,32694,13581.5,7791.2,5263.1,1615.8,4185.6,81.956,6.67
2024-09-01,29149916,2258.3986666666665,19.643333333333334,0.30509402139848085,2024,9,28.1658,31.2284,85,50,55.76,136.2,34080.9,14192.5,7961.8,5591.8,1654,4489.8,81.936,6.15
2024-10-01,32051341,2157.8883870967743,13.283870967741935,0.2959612275294685,2024,10,28.4678,31.0787,85,50,59.73,134.4,35134.1,14707,8483.5,5725.7,1772.2,4695.1,81.963,6.7
2024-11-01,31547398,2230.7296666666666,7.496666666666667,0.3089789003741495,2024,11,30.5508,34.0745,85,50,56.44,125.1,34019,13722.7,8118.8,5450.6,1715.7,4417.7,82.038,7.53
2024-12-01,32080015,2135.9670967741936,4.483870967741935,0.3346015894442633,2024,12,31.5761,33.0749,85,50,47.48,126.5,31946.4,13192.9,7615.4,5094,1607.4,4224.4,82.062,7.92
2025-01-01,30751174,2392.3864516129033,3.3064516129032255,0.3525278262133514,2025,1,32.3788,34.0078,85,50,54.92,127.8,30881.1,13014.1,7084.5,4978.4,1529.4,3977.7,82.034,7.69
2025-02-01,26007148,2391.6403571428573,5.285714285714286,0.3895800141376946,2025,2,31.71,35.5938,85,50,49.94,132.9,29805.3,12814.2,7101.4,4736.9,1597,3756.3,82.146,8.12
2025-03-01,26584693,2327.3151612903225,10.216129032258065,0.41557654274848,2025,3,33.0456,36.3484,85,50,54.73,133.3,28299.3,11785.5,6777.3,4335.8,1368.4,3625.3,82.056,9.18
2025-04-01,24349452,2222.2006666666666,16.196666666666665,0.4261382575336695,2025,4,35.8532,37.9394,85,50,49.62,139.7,27379.2,11360.4,6734.5,4249.3,1421.1,3409.1,81.984,8.21
