tarih,yil,ay,gun_haftasi,tuketim_mwh,uretim_mwh,dogalgaz_mwh,komur_mwh,hidro_mwh,ruzgar_mwh,gunes_mwh,ptf_ortalama_tl_mwh,ortalama_sicaklik_c
2018-01-29,2018,1,Pazartesi,869267,895345,171500,301675,202293,116677,40235,1841.58,-0.8
2018-01-30,2018,1,Salı,848003,873443,190987,307665,213869,65948,41908,1606.37,4
2018-01-31,2018,1,Çrᗺmba,843692,869003,189552,303577,179209,67778,35423,1574.16,-4.2
2018-02-01,2018,2,Perᗾmbe,868057,894098,246819,291565,200766,86156,40484,1807.59,4.5
2018-02-02,2018,2,Cuma,855936,881614,224245,294856,233402,70262,55492,1778,2.1
2018-02-03,2018,2,Cumartesi,754480,777115,190186,261731,174228,76986,29825,1538.64,3.6
2018-02-04,2018,2,Pazar,736800,758904,143342,274549,167428,87387,32283,1165.63,4
2018-02-05,2018,2,Pazartesi,862874,888761,201649,305131,225534,49254,41025,1726.4,2
2018-02-06,2018,2,Salı,830325,855235,199380,311104,182543,69062,42716,1354.48,5.3
2018-02-07,2018,2,Çrᗺmba,849653,875142,215611,304551,221371,116432,20325,1873.2,7.1
2018-02-08,2018,2,Perᗾmbe,851074,876607,202997,296564,203016,87630,37631,1370.01,3
2018-02-09,2018,2,Cuma,841091,866324,218703,286961,184228,95346,32399,1444.97,5.4
2018-02-10,2018,2,Cumartesi,757304,780023,192107,237421,217438,54455,7900,1376.88,11.1
2018-02-11,2018,2,Pazar,745036,767387,161119,259673,171193,77229,27902,1192.55,6.7
2018-02-12,2018,2,Pazartesi,820948,845576,176449,308727,205312,71179,34821,1460.7,4.2
2018-02-13,2018,2,Salı,868705,894767,195951,307401,221544,98320,23070,1593.54,10.4
2018-02-14,2018,2,Çrᗺmba,833087,858080,172490,308308,193795,81728,25682,1507.55,3.2
2018-02-15,2018,2,Perᗾmbe,818604,843162,186529,283669,220264,67861,33283,1438.6,7
2018-02-16,2018,2,Cuma,821777,846430,209051,295728,228901,71135,27648,1465.93,5.3
2018-02-17,2018,2,Cumartesi,733991,756011,124194,271189,230493,68120,23812,1506.08,8.3
2018-02-18,2018,2,Pazar,700780,721803,187101,232972,191047,76514,43255,1451.29,6.3
2018-02-19,2018,2,Pazartesi,831404,856346,230687,278210,232330,85212,30157,1427.53,10
2018-02-20,2018,2,Salı,809471,833755,183254,300054,211428,78892,20948,1360.03,7.4
2018-02-21,2018,2,Çrᗺmba,813546,837953,199020,270914,229301,47580,27271,1835.37,6.3
2018-02-22,2018,2,Perᗾmbe,841082,866315,194418,282712,207454,92561,38468,1242.3,7
2018-02-23,2018,2,Cuma,832389,857361,223943,298393,211742,119011,45942,1485.23,4.8
2018-02-24,2018,2,Cumartesi,695855,716731,192834,234345,191224,94480,32064,1636.35,7.2
2018-02-25,2018,2,Pazar,740759,762982,139914,266686,193187,55494,35549,1257.75,7.8
2018-02-26,2018,2,Pazartesi,776467,799761,157435,270410,224146,58847,31261,1576.45,5.1
2018-02-27,2018,2,Salı,829380,854261,204226,262287,217433,108146,42568,1394.59,8.2
2018-02-28,2018,2,Çrᗺmba,797559,821485,197506,292676,221606,51939,35241,1409.7,9.4
2018-03-01,2018,3,Perᗾmbe,801719,825771,166699,297648,214545,75003,42327,1818.16,6.6
2018-03-02,2018,3,Cuma,789018,812688,180357,276458,186328,107125,21541,1621.93,7.2
2018-03-03,2018,3,Cumartesi,672572,692749,180708,216540,185293,52297,28404,1696.36,10.5
2018-03-04,2018,3,Pazar,673914,694132,165444,250021,165220,51897,37778,1531.9,13.8
2018-03-05,2018,3,Pazartesi,804796,828939,181791,264813,214738,109170,30354,1545.39,7.6
2018-03-06,2018,3,Salı,794297,818126,181485,257659,205117,83842,23235,1491.08,10.2
2018-03-07,2018,3,Çrᗺmba,784265,807793,201133,249919,223876,89065,45225,1598.57,7.2
2018-03-08,2018,3,Perᗾmbe,796053,819935,203852,293595,224897,65593,49313,1532.42,7.1
2018-03-09,2018,3,Cuma,795421,819283,190886,294204,220604,47395,33646,1404.43,9.4
2018-03-10,2018,3,Cumartesi,688489,709144,153073,227257,181317,84565,35994,1586.75,3.4
2018-03-11,2018,3,Pazar,656705,676406,171725,230926,210920,45607,31499,1534.86,9.6
2018-03-12,2018,3,Pazartesi,816687,841187,193969,270187,225314,94565,36232,1581.41,10.2
2018-03-13,2018,3,Salı,774672,797912,184806,257382,207538,89474,43144,1528.6,10.3
2018-03-14,2018,3,Çrᗺmba,780963,804392,192668,274753,228610,96003,32008,1411.37,9
2018-03-15,2018,3,Perᗾmbe,771886,795042,166373,265839,229711,70786,41215,1378.3,11.6
2018-03-16,2018,3,Cuma,790391,814103,183551,255146,221109,66780,31810,1690.55,7.4
2018-03-17,2018,3,Cumartesi,642557,661834,158745,226579,184553,77626,40688,1407.34,8.3
2018-03-18,2018,3,Pazar,674887,695133,146166,255129,210448,43160,34451,1472.26,13.7
2018-03-19,2018,3,Pazartesi,725155,746910,176458,221874,198127,79764,41597,1617.18,8.7
2018-03-20,2018,3,Salı,776499,799794,160809,286493,197647,92522,59415,1371.78,6.7
2018-03-21,2018,3,Çrᗺmba,741939,764197,197866,256070,199685,29359,51025,1373.11,10.3
2018-03-22,2018,3,Perᗾmbe,762021,784882,184640,243202,234178,73502,27000,1653.21,8.5
2018-03-23,2018,3,Cuma,739696,761887,173683,261546,213574,58238,40859,1592.32,11.2
2018-03-24,2018,3,Cumartesi,641303,660542,142145,236001,178144,53519,40375,1596.43,9.3
2018-03-25,2018,3,Pazar,640711,659932,146206,221795,170228,61435,29641,1358.08,10.4
2018-03-26,2018,3,Pazartesi,728291,750140,150496,257924,220849,73244,36031,1415.07,15.2
2018-03-27,2018,3,Salı,755401,778063,168382,284823,182366,80118,40668,1609.85,11.1
2018-03-28,2018,3,Çrᗺmba,761682,784533,210384,252916,205832,56497,48391,1750.32,14.1
2018-03-29,2018,3,Perᗾmbe,771247,794384,198220,306364,213444,96627,58886,1747.82,14.9
2018-03-30,2018,3,Cuma,739349,761530,176438,277126,205306,89305,46410,1289.35,13.4
2018-03-31,2018,3,Cumartesi,594163,611988,131207,205212,161760,47180,28070,1430.38,13.8
2018-04-01,2018,4,Pazar,630478,649393,149895,219372,191059,72491,32018,1247.82,11.4
2018-04-02,2018,4,Pazartesi,737239,759356,164702,255264,219233,86184,51930,1378.9,15.4
2018-04-03,2018,4,Salı,709628,730917,145911,236804,211175,84168,38384,1662.09,18.2
2018-04-04,2018,4,Çrᗺmba,721015,742645,164303,259140,188834,67814,46634,1514.15,13.2
2018-04-05,2018,4,Perᗾmbe,714171,735596,166702,252066,213565,54298,44249,1432.04,12.7
2018-04-06,2018,4,Cuma,706785,727988,182040,251100,197347,60144,33956,1590.87,17.3
2018-04-07,2018,4,Cumartesi,602915,621002,175355,180018,162340,78477,27326,1424.28,15.5
2018-04-08,2018,4,Pazar,636129,655212,133451,240286,169253,93903,33676,1570.56,11
2018-04-09,2018,4,Pazartesi,753922,776540,161101,250728,203955,65185,40959,1437.89,15.5
2018-04-10,2018,4,Salı,763926,786844,212455,254572,218579,87006,57462,962.26,12.5
2018-04-11,2018,4,Çrᗺmba,727615,749443,153945,254307,175997,82488,37805,952.19,19.2
2018-04-12,2018,4,Perᗾmbe,725833,747608,179146,254340,220728,59679,29736,1610.77,13.9
2018-04-13,2018,4,Cuma,722579,744256,162691,259570,242194,83636,36056,1566.57,16.5
2018-04-14,2018,4,Cumartesi,603153,621247,152365,200268,168074,89950,42756,1442.05,19.1
2018-04-15,2018,4,Pazar,601127,619160,155900,217736,148385,41083,40065,1546.73,15.8
2018-04-16,2018,4,Pazartesi,731703,753654,159664,242001,211079,69617,33424,1548.95,18.4
2018-04-17,2018,4,Salı,737366,759487,190305,243953,213272,51857,38688,1323.67,14.9
2018-04-18,2018,4,Çrᗺmba,689203,709879,168070,229334,164413,80484,38888,1695.5,14.9
2018-04-19,2018,4,Perᗾmbe,675140,695394,153200,236007,172085,89209,37098,1874.99,20.4
2018-04-20,2018,4,Cuma,745275,767633,165997,275095,228699,101478,46058,1092.76,17.1
2018-04-21,2018,4,Cumartesi,614115,632538,141600,208626,182518,58801,39994,1282.71,23.2
2018-04-22,2018,4,Pazar,627998,646838,151399,211511,159879,72786,43092,1326.86,18.4
2018-04-23,2018,4,Pazartesi,717256,738773,168625,233196,204665,59718,39153,1535.82,15.5
2018-04-24,2018,4,Salı,653221,672817,148743,208037,184445,83644,37554,1585.67,15.8
2018-04-25,2018,4,Çrᗺmba,688683,709344,156542,244981,178724,54637,38859,1290.51,23.4
2018-04-26,2018,4,Perᗾmbe,688223,708870,164979,224452,224619,76142,35330,1608.13,19.9
2018-04-27,2018,4,Cuma,694092,714914,157482,252086,205474,92194,44697,1690.01,23.8
2018-04-28,2018,4,Cumartesi,583994,601513,143346,216054,161483,60697,25471,1541.96,24.8
2018-04-29,2018,4,Pazar,583183,600678,159985,218809,161007,78965,47430,1667.84,21.4
2018-04-30,2018,4,Pazartesi,675693,695964,142347,237799,184704,78436,40684,1420.87,20.3
2018-05-01,2018,5,Salı,717697,739227,144751,249294,167281,66303,38351,1561.71,20
2018-05-02,2018,5,Çrᗺmba,687184,707800,159104,246049,174322,36813,39523,1377.34,15.4
2018-05-03,2018,5,Perᗾmbe,713088,734480,145499,240563,209468,78720,52633,1204.68,23.6
2018-05-04,2018,5,Cuma,683048,703540,136964,231474,184019,75039,58525,1541.04,18.9
2018-05-05,2018,5,Cumartesi,608522,626777,152220,215129,161268,66117,44091,1311.82,19.3
2018-05-06,2018,5,Pazar,604394,622526,148544,206105,175043,68901,38028,1465.44,18.2
2018-05-07,2018,5,Pazartesi,683271,703769,181866,213765,190992,71342,47637,1600.75,21.8
2018-05-08,2018,5,Salı,687312,707932,176578,227610,202159,64067,49174,1738.72,22.7
2018-05-09,2018,5,Çrᗺmba,659067,678839,163893,220894,184664,74909,39272,1587.92,21.2
2018-05-10,2018,5,Perᗾmbe,693642,714451,143850,235304,212597,78989,41413,1381.67,21.4
2018-05-11,2018,5,Cuma,668715,688776,141934,212846,196593,84217,47818,1850.84,18.2
2018-05-12,2018,5,Cumartesi,571103,588236,130001,197182,155394,77906,31873,1682.23,17.6
2018-05-13,2018,5,Pazar,630493,649408,144452,213213,161015,60100,43133,1805.67,24.4
2018-05-14,2018,5,Pazartesi,694726,715568,153107,273493,200652,88962,44446,1426.87,18.2
2018-05-15,2018,5,Salı,717066,738578,190462,279780,171656,74350,52912,1868.15,18.7
2018-05-16,2018,5,Çrᗺmba,700381,721393,159605,250714,189620,55290,63089,1587.81,26.1
2018-05-17,2018,5,Perᗾmbe,689022,709693,179368,235257,158953,60119,44320,1698.41,28.3
2018-05-18,2018,5,Cuma,704668,725808,188883,228265,170889,90339,47476,1642.12,24.1
2018-05-19,2018,5,Cumartesi,594057,611878,164853,214565,147094,68015,44838,1607.14,22.7
2018-05-20,2018,5,Pazar,597609,615538,145379,223594,164371,48918,47884,1450.97,21.2
2018-05-21,2018,5,Pazartesi,715776,737249,183454,254129,193266,53296,45837,1471.7,24.9
2018-05-22,2018,5,Salı,694613,715452,193890,266908,171386,78091,30982,1580.34,23.1
2018-05-23,2018,5,Çrᗺmba,688460,709113,165324,235226,173859,62849,41814,1147.12,24.7
2018-05-24,2018,5,Perᗾmbe,679365,699746,148291,236250,179925,44790,45975,1531.47,25.1
2018-05-25,2018,5,Cuma,694127,714950,162761,263456,211661,93183,56027,1711.72,23.7
2018-05-26,2018,5,Cumartesi,582442,599915,121915,199772,135622,77257,46767,1800.89,23.4
2018-05-27,2018,5,Pazar,596159,614044,139032,189673,149146,68459,43690,1761.06,24.7
2018-05-28,2018,5,Pazartesi,701466,722510,169776,256871,141230,77562,56256,1053.15,24.1
2018-05-29,2018,5,Salı,714220,735647,184853,254904,210560,56484,46054,1959.68,23.1
2018-05-30,2018,5,Çrᗺmba,706749,727951,208918,245025,146582,63931,47444,1615.35,25.5
2018-05-31,2018,5,Perᗾmbe,682067,702529,150857,256014,172726,56748,58712,1390.58,23.7
2018-06-01,2018,6,Cuma,706974,728183,168550,259760,184419,77420,39920,1513.86,28.1
2018-06-02,2018,6,Cumartesi,588237,605884,151494,212189,125018,63494,40290,1259.63,24.2
2018-06-03,2018,6,Pazar,580175,597580,123749,203822,139498,78224,53377,1402.79,25.4
2018-06-04,2018,6,Pazartesi,668825,688890,132574,218118,170499,64715,45205,1475.98,23
2018-06-05,2018,6,Salı,743849,766165,173163,254901,213314,64492,49988,1492.19,24.4
2018-06-06,2018,6,Çrᗺmba,686259,706846,130598,232309,163710,58230,53095,1631.45,21
2018-06-07,2018,6,Perᗾmbe,689755,710448,196930,245507,169544,56603,54214,1314.42,28.6
2018-06-08,2018,6,Cuma,692534,713310,123583,240854,192952,57349,47281,1727.84,28.4
2018-06-09,2018,6,Cumartesi,628602,647460,150159,224073,153549,66680,49303,1595.02,23.3
2018-06-10,2018,6,Pazar,586178,603763,137071,203565,146659,72692,40751,1231.81,22.5
2018-06-11,2018,6,Pazartesi,674561,694798,193250,244346,162235,71818,45216,1157.07,26.2
2018-06-12,2018,6,Salı,711372,732713,130661,256091,179169,87038,62360,1655.11,29.2
2018-06-13,2018,6,Çrᗺmba,722702,744383,198800,264696,188611,89448,58979,1533.21,26.9
2018-06-14,2018,6,Perᗾmbe,717980,739519,173431,251194,181113,60457,50850,1757.09,26.6
2018-06-15,2018,6,Cuma,705265,726423,196738,226844,124053,51861,44025,1483.68,25.1
2018-06-16,2018,6,Cumartesi,598786,616749,149820,190398,128948,83650,41381,1233.1,28.1
2018-06-17,2018,6,Pazar,605177,623333,151351,222851,137797,57703,35837,1387.32,28.4
2018-06-18,2018,6,Pazartesi,699766,720759,172865,237339,154613,53753,43164,1427.04,23.4
2018-06-19,2018,6,Salı,708112,729355,164067,260197,157496,93397,49533,1436.12,22.6
2018-06-20,2018,6,Çrᗺmba,733713,755724,193512,252608,189672,70542,53029,1436.69,30.4
2018-06-21,2018,6,Perᗾmbe,693998,714818,140155,234357,160815,63267,33573,1481.64,28.2
2018-06-22,2018,6,Cuma,740686,762906,204934,274994,156862,98045,53467,1442.75,25.3
2018-06-23,2018,6,Cumartesi,616521,635016,152513,195937,134012,56290,49503,1251.63,28.6
2018-06-24,2018,6,Pazar,648808,668272,180069,232612,169426,46577,54617,1753.43,27.5
2018-06-25,2018,6,Pazartesi,709837,731132,128763,260227,141906,76231,49786,1481.81,26.5
2018-06-26,2018,6,Salı,737570,759697,171491,252216,182108,89953,61579,1468.61,26.8
2018-06-27,2018,6,Çrᗺmba,723237,744934,178142,247601,173533,62363,61659,1717.58,28.3
2018-06-28,2018,6,Perᗾmbe,714630,736068,176629,230903,136694,46402,43556,1426.74,28
2018-06-29,2018,6,Cuma,681338,701778,137839,234409,141703,55142,49612,1518.07,28.2
2018-06-30,2018,6,Cumartesi,607016,625226,129020,209154,117306,72021,36323,1340.43,24.8
2018-07-01,2018,7,Pazar,628752,647614,153136,211389,131826,56246,40370,1525.17,31.8
2018-07-02,2018,7,Pazartesi,691139,711873,133221,251421,136917,92171,59509,1580.75,27.9
2018-07-03,2018,7,Salı,741199,763435,184649,272769,173583,93296,57256,1624.1,27.5
2018-07-04,2018,7,Çrᗺmba,734761,756804,170153,277637,164050,91577,63058,1440.44,30.2
2018-07-05,2018,7,Perᗾmbe,758684,781444,153511,284349,138933,90117,50512,1764.7,29.1
2018-07-06,2018,7,Cuma,724648,746388,192040,302426,171183,52998,43944,1189.82,30.2
2018-07-07,2018,7,Cumartesi,605021,623171,133962,215524,129409,71721,36435,1595.31,28.4
2018-07-08,2018,7,Pazar,650496,670011,175180,200073,139414,67041,41469,1615.97,28.1
2018-07-09,2018,7,Pazartesi,722738,744420,180845,245074,132246,80814,59473,1600.71,27.6
2018-07-10,2018,7,Salı,730145,752049,146508,244585,159206,105442,45831,1524.56,22.4
2018-07-11,2018,7,Çrᗺmba,743565,765872,177114,275697,159667,78655,36453,1600.91,31.5
2018-07-12,2018,7,Perᗾmbe,777591,800918,168030,282505,130787,68647,59667,1270.58,30.4
2018-07-13,2018,7,Cuma,763057,785948,173426,271362,139500,85644,60614,1648.65,27.2
2018-07-14,2018,7,Cumartesi,650349,669860,159306,220484,134416,41886,58519,1533.81,29.1
2018-07-15,2018,7,Pazar,617100,635613,138856,229492,120981,59223,41716,1528.99,24.6
2018-07-16,2018,7,Pazartesi,763195,786090,170119,250837,157923,62011,33975,1502.13,28.4
2018-07-17,2018,7,Salı,757803,780537,216226,271787,162551,81693,53355,1651.98,28.4
2018-07-18,2018,7,Çrᗺmba,727740,749572,195841,268011,165090,85219,56049,1391.89,23.7
2018-07-19,2018,7,Perᗾmbe,737497,759622,172830,267777,166865,84369,46526,1194.82,23.6
2018-07-20,2018,7,Cuma,764231,787158,155552,230085,144316,92079,67035,1574.26,26.3
2018-07-21,2018,7,Cumartesi,676866,697172,164468,223021,136394,52185,46189,1599.02,29.8
2018-07-22,2018,7,Pazar,710085,731388,150555,234661,118793,46279,49735,1421.48,28.4
2018-07-23,2018,7,Pazartesi,776102,799385,169532,260786,154930,79797,56532,1376.13,24.3
2018-07-24,2018,7,Salı,786299,809888,187382,273709,127757,52987,43805,1883.06,31.6
2018-07-25,2018,7,Çrᗺmba,792221,815988,217095,272780,125566,89486,48925,1770.62,30.2
2018-07-26,2018,7,Perᗾmbe,770608,793727,188238,267420,146391,78713,54325,1405.14,30.1
2018-07-27,2018,7,Cuma,759948,782746,212752,267414,136172,82692,36300,1817.18,28
2018-07-28,2018,7,Cumartesi,677049,697361,204201,244636,139539,88252,42954,1526.19,25.5
2018-07-29,2018,7,Pazar,652573,672150,153603,229164,114469,84508,38778,1211.92,26.3
2018-07-30,2018,7,Pazartesi,834881,859927,217747,291754,157679,81248,59045,1367.07,24.1
2018-07-31,2018,7,Salı,759841,782636,169319,261639,153028,110110,63160,1675.1,23.3
2018-08-01,2018,8,Çrᗺmba,794307,818136,170442,260074,149799,60942,53109,1447.64,25.6
2018-08-02,2018,8,Perᗾmbe,844662,870001,206428,293181,169651,78936,48732,1717.84,24.9
2018-08-03,2018,8,Cuma,812976,837365,181153,280846,162416,86267,63222,1523.26,24.3
2018-08-04,2018,8,Cumartesi,698753,719715,185529,234144,160345,74271,31357,1598.57,28.8
2018-08-05,2018,8,Pazar,719921,741518,186463,262260,116641,93746,56310,1269.34,29.6
2018-08-06,2018,8,Pazartesi,802403,826475,197978,282646,166277,110324,44079,1697.06,22.9
2018-08-07,2018,8,Salı,801070,825102,184880,285145,107724,90732,57048,1583.71,27.6
2018-08-08,2018,8,Çrᗺmba,793910,817727,216668,267857,126344,80162,50585,1710.71,24.5
2018-08-09,2018,8,Perᗾmbe,801637,825686,187170,289513,122573,71422,39572,1491.93,25.9
2018-08-10,2018,8,Cuma,803241,827338,144889,307093,143750,100518,53750,1408.79,23.3
2018-08-11,2018,8,Cumartesi,719380,740961,182247,245495,143624,56588,50223,1253.71,30.1
2018-08-12,2018,8,Pazar,729621,751509,189679,258018,123470,76349,52849,1574.72,21.5
2018-08-13,2018,8,Pazartesi,813504,837909,172175,277681,140850,91072,26256,1349.88,26.3
2018-08-14,2018,8,Salı,814608,839047,198436,294168,121479,73360,39693,1242.82,23
2018-08-15,2018,8,Çrᗺmba,820335,844946,209159,273570,145631,85742,47821,1496.01,20.7
2018-08-16,2018,8,Perᗾmbe,852116,877680,183776,288224,170467,93664,64375,1688.73,28.1
2018-08-17,2018,8,Cuma,830973,855903,170982,315673,135971,87069,52835,1536.41,25.5
2018-08-18,2018,8,Cumartesi,731696,753647,173783,282742,124402,59175,44658,1780.77,25.7
2018-08-19,2018,8,Pazar,697312,718232,158507,238575,111267,73081,43248,1537.78,29.6
2018-08-20,2018,8,Pazartesi,828945,853814,221580,274821,109697,65998,57860,1399.45,28.5
2018-08-21,2018,8,Salı,815861,840337,175803,305730,151511,71092,63135,1581.92,21.3
2018-08-22,2018,8,Çrᗺmba,832424,857397,196430,277319,152396,83656,52782,1629.33,26.3
2018-08-23,2018,8,Perᗾmbe,842495,867770,204304,296733,104652,59884,54302,1428.35,25
2018-08-24,2018,8,Cuma,854751,880394,205383,323374,194126,102647,65055,1610.05,25.1
2018-08-25,2018,8,Cumartesi,740064,762266,165640,247648,124519,57803,47308,1457.94,21.1
2018-08-26,2018,8,Pazar,768006,791046,180088,250191,103200,82055,59778,1478.78,24
2018-08-27,2018,8,Pazartesi,848906,874373,232262,256586,135883,108100,50391,1660.95,22.8
2018-08-28,2018,8,Salı,850035,875536,234740,262787,140183,87048,52569,1576.97,24.6
2018-08-29,2018,8,Çrᗺmba,869362,895443,206344,284249,112993,123647,47375,1367.34,24.8
2018-08-30,2018,8,Perᗾmbe,861887,887744,187915,300094,191536,113650,36271,1417.76,21.3
2018-08-31,2018,8,Cuma,853266,878864,193313,275228,143875,86467,64295,1274.06,22.2
2018-09-01,2018,9,Cumartesi,759301,782080,171131,263077,131420,94385,50815,1268.02,23.6
2018-09-02,2018,9,Pazar,763418,786321,211241,261641,146564,85789,45602,1901.04,21.8
2018-09-03,2018,9,Pazartesi,888510,915165,223234,299526,148817,109526,49676,1448.68,25.3
2018-09-04,2018,9,Salı,851050,876581,236742,269748,147770,131694,56928,1348.74,18.4
2018-09-05,2018,9,Çrᗺmba,909711,937003,177568,306540,140263,84355,73950,1845.89,22.8
2018-09-06,2018,9,Perᗾmbe,878379,904730,219538,310473,149963,98528,49029,1634.71,23.7
2018-09-07,2018,9,Cuma,866282,892271,201638,316952,140465,76646,58923,1565.26,20.5
2018-09-08,2018,9,Cumartesi,740058,762260,182498,270354,105797,82917,40190,1366.94,21.2
2018-09-09,2018,9,Pazar,787876,811512,163424,246492,141656,68496,45050,1639.71,19.7
2018-09-10,2018,9,Pazartesi,881671,908122,212780,310775,121878,117341,39644,1620.48,19.3
2018-09-11,2018,9,Salı,886900,913507,213856,291025,127745,65511,37499,1469.41,19.1
2018-09-12,2018,9,Çrᗺmba,895159,922014,223486,307905,135219,87786,54496,1848.6,22.7
2018-09-13,2018,9,Perᗾmbe,880953,907381,208262,307778,139686,70010,48211,1577.55,23
2018-09-14,2018,9,Cuma,862897,888784,272904,316468,140931,119858,43115,1792.2,16.6
2018-09-15,2018,9,Cumartesi,780693,804114,184607,241928,121954,70916,38489,1814.31,19
2018-09-16,2018,9,Pazar,791247,814985,180126,279075,122843,77628,28619,1329.4,24.9
2018-09-17,2018,9,Pazartesi,907742,934974,207535,317307,158746,65933,50258,1673.64,22
2018-09-18,2018,9,Salı,882653,909132,194762,295690,122062,82814,54185,1499.19,21.8
2018-09-19,2018,9,Çrᗺmba,877012,903322,189000,315808,162588,114896,37393,1636.68,15.2
2018-09-20,2018,9,Perᗾmbe,904051,931172,195322,318980,106225,121586,58648,1533.22,19.9
2018-09-21,2018,9,Cuma,897039,923950,257689,317441,114691,90392,35034,1442.78,21
2018-09-22,2018,9,Cumartesi,784296,807825,205322,303537,101422,70477,48204,1674.85,21
2018-09-23,2018,9,Pazar,771541,794687,174555,252463,121446,91339,17629,1036.78,16.9
2018-09-24,2018,9,Pazartesi,911050,938381,235634,306068,99942,107759,24935,1791.65,21.9
2018-09-25,2018,9,Salı,922610,950288,205361,298408,112625,88972,49311,1378.77,16.1
2018-09-26,2018,9,Çrᗺmba,915437,942900,235601,325379,133804,77484,33571,1145.1,15.9
2018-09-27,2018,9,Perᗾmbe,885534,912100,217853,306691,150976,96067,40070,2064.69,19.3
2018-09-28,2018,9,Cuma,902551,929627,214637,339142,134461,93327,39093,1688.94,19.2
2018-09-29,2018,9,Cumartesi,830653,855573,200566,279968,106132,70069,31569,1920.35,17.9
2018-09-30,2018,9,Pazar,776190,799476,160975,285365,110098,83710,36114,1638.98,16.9
2018-10-01,2018,10,Pazartesi,956574,985271,272388,345198,160838,128350,58080,1378.82,16.8
2018-10-02,2018,10,Salı,921477,949122,211039,346442,133589,112311,30190,1424.79,17.2
2018-10-03,2018,10,Çrᗺmba,936166,964251,231407,300844,141840,103558,47978,1661.49,11.6
2018-10-04,2018,10,Perᗾmbe,906963,934172,253274,293103,128495,85227,34237,1443.86,13.8
2018-10-05,2018,10,Cuma,922438,950112,198155,327536,123974,95952,44870,1494.66,18
2018-10-06,2018,10,Cumartesi,874398,900630,205181,310038,118882,86421,33359,1456.24,15.9
2018-10-07,2018,10,Pazar,848914,874381,188642,305444,160251,74369,44536,1529.99,18.5
2018-10-08,2018,10,Pazartesi,941710,969962,218730,328247,139343,89651,45180,1748.97,16.6
2018-10-09,2018,10,Salı,954715,983356,256914,317641,159437,87413,50161,1483.42,12.3
2018-10-10,2018,10,Çrᗺmba,930685,958606,213660,329796,153947,70653,48248,1725.44,16.4
2018-10-11,2018,10,Perᗾmbe,911838,939193,218437,328709,141513,98454,44620,1722.78,10.8
