tarih,yil,ay,usd_try,eur_try,tufe_yillik,politika_faizi,reel_efektif_kur
2020-11-01,2020,11,8.6879,9.5902,85,19.92,73.32
2020-12-01,2020,12,8.7619,9.7769,85,21.24,72.08
2021-01-01,2021,1,9.4371,10.5276,85,23.13,67.9
2021-02-01,2021,2,10.333,11.9287,85,21.94,72.05
2021-03-01,2021,3,10.2707,11.6897,85,24.76,65.61
2021-04-01,2021,4,10.1488,11.1758,85,23.72,67.29
2021-05-01,2021,5,11.1082,12.2599,85,22.11,65.5
2021-06-01,2021,6,11.1401,12.0715,85,22.45,74.67
2021-07-01,2021,7,11.5253,12.667,85,27.16,63.06
2021-08-01,2021,8,10.8519,12.1086,85,23.55,61.98
2021-09-01,2021,9,12.0494,13.5221,85,28.92,70.35
2021-10-01,2021,10,11.6653,13.0725,85,30.32,63.42
2021-11-01,2021,11,12.4896,13.8298,85,23.41,66.65
2021-12-01,2021,12,18.3853,20.3041,85,24.86,61.56
2022-01-01,2022,1,16.547,18.3397,85,29.76,60.91
2022-02-01,2022,2,17.9555,19.7275,85,27.46,70.71
2022-03-01,2022,3,14.5045,16.7011,85,29.01,67.29
2022-04-01,2022,4,14.3353,16.2221,85,29.03,66.33
2022-05-01,2022,5,13.9253,14.5798,85,30.89,66.45
2022-06-01,2022,6,14.0898,15.7869,85,31.46,64.15
2022-07-01,2022,7,15.198,16.1255,85,28.58,66.15
2022-08-01,2022,8,15.8047,17.8981,85,31.67,64.22
2022-09-01,2022,9,15.7179,16.329,85,28.86,60.3
2022-10-01,2022,10,14.7237,16.3725,85,33.92,61
2022-11-01,2022,11,16.0346,17.6185,85,34,69.95
2022-12-01,2022,12,16.1363,17.7984,85,32.01,53.43
2023-01-01,2023,1,17.1846,18.7247,85,29.83,59.7
2023-02-01,2023,2,18.189,19.6165,85,36.25,63.12
2023-03-01,2023,3,17.7994,19.8836,85,31.29,58.83
2023-04-01,2023,4,18.1641,20.1191,85,37.1,55.19
2023-05-01,2023,5,17.8275,20.6298,85,33.48,62.05
2023-06-01,2023,6,21.1433,22.3037,85,50,61.56
2023-07-01,2023,7,21.171,22.7876,85,50,67.17
2023-08-01,2023,8,20.4988,23.0249,85,50,54.34
2023-09-01,2023,9,19.9977,23.49,85,50,63.84
2023-10-01,2023,10,22.2573,24.9339,85,50,51.39
2023-11-01,2023,11,22.2882,23.2526,85,50,55.03
2023-12-01,2023,12,22.9027,23.8937,85,50,56.97
2024-01-01,2024,1,23.9866,27.0533,85,50,57.08
2024-02-01,2024,2,22.3993,23.3527,85,50,52.92
2024-03-01,2024,3,24.1929,25.0018,85,50,57.68
2024-04-01,2024,4,25.7277,28.0583,85,50,54.66
2024-05-01,2024,5,24.9289,27.1727,85,50,48.81
2024-06-01,2024,6,27.4802,29.2062,85,50,57.83
2024-07-01,2024,7,26.7361,29.3137,85,50,50.91
2024-08-01,2024,8,28.3977,30.3635,85,50,48.87
2024-09-01,2024,9,28.1658,31.2284,85,50,55.76
2024-10-01,2024,10,28.4678,31.0787,85,50,59.73
2024-11-01,2024,11,30.5508,34.0745,85,50,56.44
2024-12-01,2024,12,31.5761,33.0749,85,50,47.48
2025-01-01,2025,1,32.3788,34.0078,85,50,54.92
2025-02-01,2025,2,31.71,35.5938,85,50,49.94
2025-03-01,2025,3,33.0456,36.3484,85,50,54.73
2025-04-01,2025,4,35.8532,37.9394,85,50,49.62
